entidad,archivo,nombre,extension,tamano_kb
obra,obra\Datos generales - Obra - 2023.05.15.xlsx,Datos generales - Obra - 2023.05.15.xlsx,.xlsx,21.74
obra,obra\Perfilamiento Obra Riesgosa_CATEGORÍA X_2023.05.12.xlsx,Perfilamiento Obra Riesgosa_CATEGORÍA X_2023.05.12.xlsx,.xlsx,37.85
empresa,empresa\Datos generales - Empresa -2023.05.15.xlsx,Datos generales - Empresa -2023.05.15.xlsx,.xlsx,20.95
empresa,empresa\Perfilamiento de Empresa riesgosa_ CATEGORÍA X _2023.05.12.xlsx,Perfilamiento de Empresa riesgosa_ CATEGORÍA X _2023.05.12.xlsx,.xlsx,27.08
funcionario,funcionario\Datos generales - Funcionario - 2023.05.15.xlsx,Datos generales - Funcionario - 2023.05.15.xlsx,.xlsx,21.63
funcionario,funcionario\Perfilamiento de Funcionario riesgoso_ CATEGORÍA X _2023.05.12.xlsx,Perfilamiento de Funcionario riesgoso_ CATEGORÍA X _2023.05.12.xlsx,.xlsx,27.89
catalogos,catalogos\Diccionario vistas dashboards y datasets.xlsx,Diccionario vistas dashboards y datasets.xlsx,.xlsx,17.2
catalogos,catalogos\Diccionario_Datos_ML_Completo_V1.xlsx,Diccionario_Datos_ML_Completo_V1.xlsx,.xlsx,31.01
catalogos,catalogos\Diccionario_Datos_Sistemas_Fuente_V1.xlsx,Diccionario_Datos_Sistemas_Fuente_V1.xlsx,.xlsx,132.3
